state_in_path,x,y,sr,sf,tp,v,e
0,205,250,10,12,-100,0.9917648,0.008269312858114768
1,216,250,10,12,-100,0.9917648,0.008269312858114768
2,227,250,10,12,-100,0.9917648,0.008269312858114768
3,238,250,10,12,-100,0.9917648,0.008269312858114768
4,249,250,10,12,-100,0.9917648,0.008269312858114768
5,260,250,10,12,-100,0.9917648,0.008269312858114768
6,271,250,10,12,-100,0.9917648,0.008269312858114768
7,282,250,10,12,-100,0.9917648,0.008269312858114768
8,293,250,10,12,-100,0.9917648,0.008269312858114768
9,304,250,10,12,-100,0.9917648,0.008269312858114768
10,315,250,10,12,-100,0.9917648,0.008269312858114768
11,326,250,10,12,-100,0.9917648,0.008269312858114768
12,337,250,10,12,-100,0.9917648,0.008269312858114768
13,348,250,10,12,-100,0.9917648,0.008269312858114768
14,359,250,10,12,-100,0.9917648,0.008269312858114768
15,370,250,10,12,-100,0.9917648,0.008269312858114768
16,381,250,10,12,-100,0.9917648,0.008269312858114768
17,392,250,10,12,-100,0.9917648,0.008269312858114768
18,403,250,10,12,-100,0.9917648,0.008269312858114768
19,414,250,10,12,-100,0.9917648,0.008269312858114768
20,425,250,10,12,-100,0.9917648,0.008269312858114768
21,436,250,10,12,-100,0.9917648,0.008269312858114768
22,447,250,10,12,-100,0.9917648,0.008269312858114768
23,458,250,10,12,-100,0.9917648,0.008269312858114768
24,469,250,10,12,-100,0.9917648,0.008269312858114768
25,480,250,10,12,-100,0.9917648,0.008269312858114768
26,491,250,10,12,-100,0.9917648,0.008269312858114768
27,502,250,10,12,-100,0.9917648,0.008269312858114768
28,513,250,10,12,-100,0.9917648,0.008269312858114768
29,524,250,10,12,-100,0.9917648,0.008269312858114768
30,535,250,10,12,-100,0.9917648,0.008269312858114768
31,546,250,10,12,-100,0.9917648,0.008269312858114768
32,557,250,10,12,-100,0.9917648,0.008269312858114768
33,568,250,10,12,-100,0.9917648,0.008269312858114768
34,579,250,10,12,-100,0.9917648,0.008269312858114768
35,590,250,10,12,-100,0.9917648,0.008269312858114768
36,601,250,10,12,-100,0.9917648,0.008269312858114768
37,612,250,10,12,-100,0.9917648,0.008269312858114768
38,623,250,10,12,-100,0.9917648,0.008269312858114768
39,634,250,10,12,-100,0.9917648,0.008269312858114768
40,645,250,10,12,-100,0.9917648,0.008269312858114768
41,656,250,10,12,-100,0.9917648,0.008269312858114768
42,667,250,10,12,-100,0.9917648,0.008269312858114768
43,678,250,10,12,-100,0.9917648,0.008269312858114768
44,689,250,10,12,-100,0.9917648,0.008269312858114768
45,700,250,10,12,-100,0.9917648,0.008269312858114768
46,711,250,10,12,-100,0.9917648,0.008269312858114768
47,722,250,10,12,-100,0.9917648,0.008269312858114768
48,733,250,10,12,-100,0.9917648,0.008269312858114768
49,744,250,10,12,-100,0.9917648,0.008269312858114768
50,755,250,10,12,-100,0.9917648,0.008269312858114768
51,766,250,10,12,-100,0.9917648,0.008269312858114768
52,777,250,10,12,-100,0.9917648,0.008269312858114768
53,788,250,10,12,-100,0.9917648,0.008269312858114768
54,799,250,10,12,-100,0.9917648,0.008269312858114768
55,810,250,10,12,-100,0.9917648,0.008269312858114768
56,821,250,10,12,-100,0.9917648,0.008269312858114768
57,832,250,10,12,-100,0.9917648,0.008269312858114768
58,843,250,10,12,-100,0.9917648,0.008269312858114768
59,854,250,10,12,-100,0.9917648,0.008269312858114768
60,865,250,10,12,-100,0.9917648,0.008269312858114768
61,876,250,10,12,-100,0.9917648,0.008269312858114768
62,887,250,10,12,-100,0.9917648,0.008269312858114768
63,898,250,10,12,-100,0.9917648,0.008269312858114768
64,909,250,10,12,-100,0.9917648,0.008269312858114768
65,920,250,10,12,-100,0.9917648,0.008269312858114768
66,931,250,10,12,-100,0.9917648,0.008269312858114768
67,942,250,10,12,-100,0.9917648,0.008269312858114768
68,953,250,10,12,-100,0.9917648,0.008269312858114768
69,964,250,10,12,-100,0.9917648,0.008269312858114768
70,975,250,10,12,-100,0.9917648,0.008269312858114768
71,986,250,10,12,-100,0.9917648,0.008269312858114768
72,997,250,10,12,-100,0.9917648,0.008269312858114768
73,1008,250,10,12,-100,0.9917648,0.008269312858114768
74,1019,250,10,12,-100,0.9917648,0.008269312858114768
75,1030,250,10,12,-100,0.9917648,0.008269312858114768
76,1041,250,10,12,-100,0.9917648,0.008269312858114768
77,1052,250,10,12,-100,0.9917648,0.008269312858114768
